CLAVE,NOMBRE
161,DISEÑO DE EQUIPO
211,ESTEQUIOMETRIA
224,ESTADISTICA I
225,ESTADISTICA II
235,FISICA I
236,FISICA II
297,FISICOQUIMICA II
298,FISICOQUIMICA III
305,GENETICA GENERAL
306,GENETICA II
321,INGENIERIA ELECTRICA I
322,INGENIERIA ELECTRICA II
323,INGENIERIA MECANICA I
324,INGENIERIA MECANICA II
328,INGENIERIA DE PROCESOS
329,INGENIERIA QUIMICA I
330,INGENIERIA QUIMICA II
331,INGENIERIA QUIMICA III
332,INGENIERIA QUIMICA IV
333,INGENIERIA QUIMICA V
334,INGENIERIA QUIMICA VI
335,INGENIERIA QUIMICA VII
336,INGENIERIA QUIMICA VIII
358,INGENIERIA ECONOMICA I
359,INGENIERIA ECONOMICA II
456,LAB. DE CIENCIA BASICA I
457,LAB. DE CIENCIA BASICA II
458,LAB. DE MOMENTUM Y CALOR
459,LAB. DE TRANSF. DE MASA
480,MATEMATICAS I
481,MATEMATICAS II
639,QUIMICA INORGANICA I
655,QUIMICA ORGANICA V
680,RADIOFARMACIA
681,RELACIONES HUMANAS
720,SEGURIDAD INDUSTRIAL
729,SEMINARIO DE MICROB. MEDICA
758,TECNOLOGIA DE SERVICIOS
851,QUIMICA ANALITICA I
5,ANALISIS II
6,ANALISIS III
7,ANALISIS IV
11,ANALISIS V
23,ANALISIS II
24,ANALISIS III
25,ANALISIS IV
27,ANALISIS BIOQUIMICO CLINICOS
35,ANALISIS CLIN. BACTERIOLOGICOS
36,ANALISIS QUIMICO CLINICOS
37,ANATOMIA Y FISIOLOGIA
60,BACTERIOLOGIA MEDICA
64,BIOQUIMICA I
82,BIOSINTESIS MICRO DE APLIC IND
128,CONTROL DE MEDICAMENTOS
174,DESARROLLO ANALITICO
252,FISICA III
255,FISICA IV
257,FISICA V
266,FISICOQUIMICA V
268,FISICOQUIMICA VI
269,FISICOQUIMICA VII
286,FARMACOGNOSIA
287,FARMACOLOGIA I
288,FARMACOLOGIA II
289,FARMACOLOGIA III
291,FISICA III
292,FISICOQUIMICA FARMACEUTICA
294,FISIOLOGIA Y BIOQ. DE MICROORG
295,FISICOQUIMICA IV
312,HEMATOLOGIA
314,HISTOLOGIA NORMAL Y PATOLOGICA
345,INMUNOLOGIA
361,INMUNOLOGIA GENERAL
362,INMUNOLOGIA APLICADA
526,MICROBIOLOGIA AGRICOLA
528,MICROBIOLOGIA FARMACEUTICA
529,MICROBIOLOGIA GENERAL
530,MICROBIOLOGIA GENERAL
574,OPERACIONES UNITARIAS FARMAC.
614,PARASITOLOGIA
617,PROCESOS CINETICOS Y ESTAB.
650,QUIMICA ORGANICA I
653,QUIMICA ORGANICA III
654,QUIMICA ORGANICA IV
659,QUIMICA ORGANICA I
660,QUIMICA ORGANICA II
662,QUIMICA ORGANICA III
675,QUIMICA LEGAL
760,TECNOLOGIA DE ALIMENTOS
772,TECNOLOGIA FARMACEUTICA I
773,TECNOLOGIA FARMACEUTICA II
781,TECNOLOGIA FARMACEUTICA III
783,TOXICOLOGIA
784,TERMODINAMICA QUIMICA
800,VIROLOGIA
852,QUIMICA ANALITICA II
853,QUIMICA ANALITICA III
854,QUIMICA ANALITICA IV
65,BIOQUIMICA II
1017,PETROQUIMICA II
674,QUIMICA DE ALIMENTOS
293,FISIOLOGIA
313,HIGIENE INDUSTRIAL
344,ING. INDUSTRIAL II
1744,BIOSINTESIS INDUSTRIALES
635,QUIMICA DE LOS MAT. CERAMICOS
1636,METOD. ELECTROM. Y DE SEPARAC.
4,ANALISIS I
9582,DISEÑO DE EXPERIMENTOS
202,ECONOMIA INDUSTRIAL II
250,FISICA I
251,FISICA II
261,FISICOQUIMICA II
262,FISICOQUIMICA III
455,LAB. DE CIENCIA BASICA I
483,MATEMATICAS IV
485,MATEMATICAS VI
486,MATEMATICAS VII
1986,QUIMICA ANALITICA INSTRUMENTAL I
644,QUIMICA INORGANICA I
600,PAPEL Y CELULOSA I
482,MATEMATICAS III
260,FISICOQUIMICA I
484,MATEMATICAS V
855,QUIMICA ANALITICA V
123,COMPUTACION ELECT. Y PROG. II
1783,TOXICOLOGIA DE ALIMENTOS
9902,QUIMICA BASICA
9903,LABORATORIO DE QUIMICA BASICA
9905,TALLER DE DESARROLLO PERSONAL
9906,CONFERENCIAS
1746,QUIMICA ANALITICA IV
1113,FISICA I
1110,ALGEBRA SUPERIOR
1114,QUIMICA GENERAL I
1111,CALCULO I
1010,SINTESIS DE POLIMEROS
9999,TALLER DE MATEMATICAS
1707,BIOQUIMICA EXPERIMENTAL
1704,QUIMICA ANALITICA INSTRUMENTAL I
1205,CALCULO II
1209,FISICA II
1210,LABORATORIO DE FISICA
1214,BIOLOGIA CELULAR
9997,TALLER DE CALCULO II
495,METALURGIA FISICA I
608,PREPARACION DE MINERALES II
490,METALURGIA EXTRACTIVA I
488,METALURGIA ADAPTATIVA I
1311,QUIMICA ORGANICA I
1309,FUNDAMENTOS DE ESPECTROSCOPIA
1308,EQUILIBRIO Y CINETICA
320,INFORMACION BIBLIOGRAFICA
642,QUIMICA EXP. APLICADA II
656,QUIMICA ORGANICA V
1310,QUIMICA INORGANICA I
1456,QUIMICA ANALITICA III
164,FISIOLOGIA
1315,METALURGIA Y SOCIEDAD
1314,FUNDAMENTOS DE METALURGIA Y MATERIAL
437,MAQUINAS TERMICAS
1413,QUIMICA ORGANICA II
1407,QUIMICA ORGANICA II
1411,QUIMICA ORGANICA II
1404,QUIMICA CUANTICA I
1212,TERMODINAMICA
1211,QUIMICA GENERAL II
1424,METODOS NUMERICOS
