CLAVE,NOMBRE,CREDITOS,LABORATORIO,INICIO,VIGENCIA,DEPARTAMENTO,NOMBRE_COMPLETO,EQUIVALENCIA,NOMBRE_INGLES,PORCEN_CAL
1535,COMPUESTOS CON C.H.O.N. Y S.,10,L,20001,S,02030100,COMPUESTOS CON C.H.O.N. Y S.,0,COMPOUNDS OF C.H.O.N. AND S.,60.00
1920,PROYECTO,25,T,20001,S,03020300,PROYECTO,0,PROJECT,100.00
1821,FUNDICION,10,L,20001,S,03020200,FUNDICION,0,FOUNDRY,60.00
1826,PIROREFINACION,10,L,20001,S,03020100,PIROREFINACION,0,PYROREFINATION,60.00
1425,FUNDAMENTOS METALURGIA FISICA,10,L,20001,S,03020200,FUNDAMENTOS METALURGIA FISICA,0,PRINCIPLES OF PHYSICAL METALLURGY,70.00
1103,CINEMATICA Y DINAMICA,8,L,20001,S,01020100,CINEMATICA Y DINAMICA,0,KINEMATICS AND DYNAMICS,
1104,QUIMICA GENERAL,20,L,20001,S,02020100,QUIMICA GENERAL,0,GENERAL CHEMISTRY,
1213,ESTATICA,8,L,20001,S,01020200,ESTATICA,0,STATICS,75.00
1207,TERMODINAMICA,11,L,20001,S,01010100,TERMODINAMICA,0,THERMODYNAMICS,
1203,ELECTROMAGNETISMO,8,L,20001,S,01020100,ELECTROMAGNETISMO,1,ELECTROMAGNETISM,83.00
1232,ELECTROMAGNETISMO,10,L,20001,S,01020100,ELECTROMAGNETISMO,1,ELECTROMAGNETISM,
1304,QUIMICA INORGANICA,9,L,20001,S,02020200,QUIMICA INORGANICA,0,INORGANIC CHEMISTRY,65.00
1317,PROPIEDADES TERMODINAMICAS,10,L,20001,S,01010100,PROPIEDADES TERMODINAMICAS,0,THERMODYNAMIC PROPERTIES,80.00
1303,BALANCES DE MATERIA Y ENERGIA,12,L,20001,S,03010100,BALANCES DE MATERIA Y ENERGIA,0,MASS AND ENERGY BALANCES,80.00
1405,QUIMICA ORGANICA II,9,L,20001,S,02030100,QUIMICA ORGANICA II,0,ORGANIC CHEMISTRY II,65.00
1445,QUIMICA ORGANICA II,10,L,20001,S,02030100,QUIMICA ORGANICA II,0,ORGANIC CHEMISTRY II,60.00
1545,QUIMICA ORGANICA III,9,L,20001,S,02030100,QUIMICA ORGANICA III,0,ORGANIC CHEMISTRY III,65.00
1645,QUIMICA ORGANICA IV,10,L,20001,S,02030100,QUIMICA ORGANICA IV,0,ORGANIC CHEMISTRY IV,60.00
1403,FLUJO DE FLUIDOS,10,L,20001,S,03010100,FLUJO DE FLUIDOS,0,FLUID FLOW,80.00
1417,EQUILIBRIO FISICO,10,L,20001,S,01010100,EQUILIBRIO FISICO,0,PHASE EQUILIBRIUM,80.00
1517,EQUILIBRIO QUIMICO,10,L,20001,S,01010100,EQUILIBRIO QUIMICO,0,CHEMICAL EQUILIBRIUM,80.00
1513,TRANSFERENCIA DE CALOR,12,L,20001,S,03010100,TRANSFERENCIA DE CALOR,0,HEAT TRANSFER,80.00
1611,ELECTROQUIMICA,10,L,20001,S,01010200,ELECTROQUIMICA,0,ELECTROCHEMISTRY,80.00
1617,FENOMENOS DE SUPERFICIE,10,L,20001,S,01010200,FENOMENOS DE SUPERFICIE,0,SURFACE CHEMISTRY PHENOMENA,80.00
1613,PROCESOS DE SEPARACION I,12,L,20001,S,03010100,PROCESOS DE SEPARACION I,0,SEPARATION PROCESSES I,80.00
1714,PROCESOS DE SEPARACION II,12,L,20001,S,03010100,PROCESOS DE SEPARACION II,0,SEPARATION PROCESSES II,80.00
1717,CINETICA QUIMICA Y CATALISIS,10,L,20001,S,01010200,CINETICA QUIMICA Y CATALISIS,0,CHEMICAL KINETICS AND CATALYSIS,80.00
1813,INGENIERIA DE REACTORES,12,L,20001,S,03010100,INGENIERIA DE REACTORES,0,REACTOR ENGINEERING,80.00
1713,SIMULAC Y OPTIMIZ DE PROCESOS,10,T,20001,S,03010100,SIMULAC Y OPTIMIZ DE PROCESOS,0,PROCESS SIMULATION AND OPTIMIZATION,100.00
1913,INGENIERIA DE PROYECTOS,30,L,20001,S,03010100,INGENIERIA DE PROYECTOS,0,PROJECT ENGINEERING,80.00
1013,MATERIALES II,8,L,20001,S,03010200,MATERIALES II,0,MATERIALS II,80.00
1012,MATERIALES I,8,L,20001,S,03010200,MATERIALES I,0,MATERIALS I,80.00
1556,Q. ANALITICA INSTRUMENTAL I,9,L,20001,S,02010200,Q. ANALITICA INSTRUMENTAL I,0,INSTRUMENTAL ANALYTICAL CHEMISTRY I,66.67
1656,Q. ANALITICA INSTRUMENTAL II,9,L,20001,S,02010200,Q. ANALITICA INSTRUMENTAL II,0,INSTRUMENTAL ANALYTICAL CHEMISTRY II,66.67
1335,INTRODUC. A LA QUIM. ORGANICA,10,L,20001,S,02030100,INTRODUC. A LA QUIM. ORGANICA,0,INTRODUCTION TO ORGANIC CHEMISTRY,60.00
1432,ONDAS Y OPTICA,8,L,20001,S,01020100,ONDAS Y OPTICA,0,WAVES AND OPTICS,83.00
1437,PROPIEDADES FISICOQUIMICAS,9,L,20001,S,01010100,PROPIEDADES FISICOQUIMICAS,0,PHYSICAL CHEMISTRY III,66.70
1434,QUIMICA DEL ESTADO SOLIDO,9,L,20001,S,02020200,QUIMICA DEL ESTADO SOLIDO,0,SOLID STATE CHEMISTRY,67.00
1537,EQUILIBRIO FISICOQUIMICO,9,L,20001,S,01010100,EQUILIBRIO FISICOQUIMICO,0,PHYSICOCHEMICAL EQUILIBRIUM,66.70
