IIDPLAZAEM,INUMEMP,INUMPLAZA,TICVEFUNC,TICVEPROG,SICVESUBPR,SICVEDEP,TICVESUBDE,SICVEPART,CCVETIPEJE,CCVECATEG,CNIVELDGP,NTOTHOR,MSDO,TICVETIPCO,SDFECINI,SDFECFIN,SICVENODO,SISTATUS,CUNIPAG,SICVEORGIN,TICVETIPMO,SINUMCAU,SICVELIC,VCDESARECO,VCNUMFOLDG,NPERPAG,SDFECREG,CPROCSIP,TICVECLASA,INUMFOL,SISERIAL,SICVEDEPNO,TICVESDNOD,INUMEMPREG
244901,802186,14731,1,0,8,418,1,151,0,ET1700,51,32.0000,6061.6000,0,13/03/2010,,8,10,N,0,1,36,0,,2010067979,201019,30/09/2010,S,0,23438,1,418,0,0
255856,132110,14906,1,0,1,418,1,161,,CF4700,03,32.0000,7152.4000,0,01/07/2007,,8,10,N,0,1,38,0,,2007057253,200716,15/08/2007,S,0,11543,1,418,0,0
255857,132110,56672,1,0,1,418,1,165,,CF4700,03,16.0000,3576.2000,0,01/07/2007,,8,10,N,0,1,38,0,,2007057254,200716,15/08/2007,S,0,11544,1,418,0,0
165773,730332,58658,1,0,13,418,1,121,0,D6600,96,40.0000,20777.5000,3,01/01/2010,,8,10,N,0,1,36,0,QUIMICA GENERAL,2010014556,201004,17/02/2010,S,0,21527,1,418,0,0
291394,849606,14920,1,0,1,418,1,161,0,CF8000,09,32.0000,5912.6000,0,01/12/2010,,8,10,N,0,1,38,0,,2010096490,201024,08/12/2010,S,0,23898,2,418,0,0
291395,849606,15013,1,0,1,418,1,165,0,CF8000,09,16.0000,2956.3000,0,01/12/2010,,8,10,N,0,1,18,0,,2010096491,201024,08/12/2010,S,0,23899,1,418,0,0
284915,851777,66834,1,0,1,418,1,151,0,AA0200,50,37.5000,3579.7000,0,06/05/2010,,1,10,N,0,1,62,0,,2010038744,201011,03/06/2010,S,0,89952,1,723,0,0
264340,109173,39979,1,1,1,418,2,151,,A0600,50,32.0000,5561.4000,0,01/05/2008,,8,10,N,0,1,28,0,,2008040634,200811,02/06/2008,S,0,15246,2,418,0,0
167253,740464,15049,3,1,12,418,2,121,,D6500,93,40.0000,9623.5200,3,01/02/1997,,0,1,N,0,1,0,0,QUIMICA ORGANICA,,0,,,0,0,0,0,0,0
292457,46369,14976,1,0,1,418,1,143,0,CA8400,07,48.0000,20855.0000,0,16/01/2011,,8,10,N,0,1,38,0,,2011011803,201104,02/02/2011,S,0,24234,1,418,0,0
145293,107050,14393,1,0,1,418,1,151,0,A0800,52,32.0000,4650.2000,0,30/03/2010,,8,10,N,0,1,36,0,,2010065954,201018,13/09/2010,S,0,23403,1,418,0,0
150949,126088,14741,1,2,2,418,1,151,,A0900,53,32.0000,3796.0000,0,01/05/2003,,1,10,N,0,1,997,0,,2003531566,200313,02/07/2003,S,0,39843,2,723,0,0
205654,107051,14654,1,0,3,418,1,151,,A0900,52,32.5000,4134.2000,0,01/04/2006,,8,10,N,0,1,63,0,,2006045027,200613,01/07/2006,S,0,7556,1,418,0,0
247013,107051,76194,1,0,3,418,1,155,,A0900,52,15.5000,2067.1000,0,01/04/2006,,8,10,N,0,1,18,0,,2006045028,200613,01/07/2006,S,0,7557,1,418,0,0
263759,842723,76182,1,1,1,418,2,151,,AA0200,50,40.0000,3215.0500,0,16/04/2008,,1,10,N,0,1,62,0,,2008039501,200810,14/05/2008,S,0,74853,1,723,0,0
277216,845398,8035,1,0,1,418,1,151,,O1200,50,40.0000,3954.2000,0,01/07/2009,,8,10,N,0,1,28,0,,2009063136,200917,03/09/2009,S,0,19766,2,418,0,0
293210,854864,14941,1,0,1,418,1,161,0,CF9800,10,32.0000,5576.0000,0,01/02/2011,,8,10,N,0,1,62,0,,2011013936,201105,01/03/2011,S,0,24599,1,418,0,0
246215,803434,14932,1,1,1,418,2,143,,CA3100,14,48.0000,13561.0000,0,01/04/2006,,8,10,N,0,1,118,0,,2006038683,200611,06/06/2006,S,0,7385,3,418,0,0
261332,841713,58427,1,2,2,418,2,161,,CF4700,05,32.0000,6633.7000,0,01/02/2008,,8,10,N,0,1,62,0,,2008017402,200805,29/02/2008,S,0,13429,1,418,0,0
261333,841713,58428,1,2,2,418,2,165,,CF4700,05,16.0000,3316.8500,0,01/02/2008,,8,10,N,0,1,62,0,,2008017403,200805,29/02/2008,S,0,13430,1,418,0,0
156776,142768,14602,1,1,1,418,2,151,,A1100,52,32.0000,2920.0000,0,01/09/2002,,1,10,N,0,1,997,0,,2003526881,200310,07/05/2003,S,0,35006,2,723,0,0
202663,83331,15119,1,0,10,418,1,121,,D6600,96,40.0000,15326.0000,0,07/01/2004,,1,1,N,0,1,36,0,,2004008382,200404,20/02/2004,N,0,0,0,0,0,0
220286,825616,14693,1,1,1,418,2,151,,AA0200,52,37.5000,3695.3500,0,01/01/2009,,1,10,N,0,1,997,0,,2009503787,200916,18/08/2009,S,0,85516,2,723,0,0
173806,806686,58437,1,2,2,418,2,161,,CF8000,11,32.0000,2822.6000,0,16/01/1998,15/07/1998,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
173807,806686,58438,1,2,2,418,2,165,,CF8000,11,16.0000,1411.3000,0,16/01/1998,15/07/1998,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
290731,807681,14939,1,0,1,418,1,161,0,CF4700,03,32.0000,8084.0000,0,01/11/2010,,8,10,N,0,1,32,0,,2010090655,201023,02/12/2010,S,0,23664,1,418,0,0
290732,807681,58432,1,0,1,418,1,165,0,CF4700,03,16.0000,4042.0000,0,01/11/2010,,8,10,N,0,1,18,0,,2010090656,201023,02/12/2010,S,0,23665,1,418,0,0
257596,123170,15276,1,0,1,418,1,143,,CA2600,14,48.0000,12719.3400,0,01/10/2007,,8,10,N,0,1,38,0,,2007081900,200720,12/10/2007,S,0,12249,1,418,0,0
289178,154975,2546,3,1,2,314,1,147,0,I9400,84,40.0000,11911.3500,1,20/08/2010,19/08/2011,7,10,N,0,1,38,0,"CRECIMIENTO Y CARACTERIZACIÓN DE MATERIALES CON ESPECIALIDAD EN SISTEMAS DE MULTICAPAS DELGADAS  DELGADAS SOMETIDASA IRRADIACIÓN CON IONE, EXPERIENCIA EN EL USO DE ACELERADORES DE PARTÍCULAS TIPO PELLETRON TANDEM DE 3MV Y LA APLICACIÓN DE TÉCNICAS",2010086941,201022,17/11/2010,S,0,1956,2,314,0,0
236452,831426,14678,1,0,1,418,1,151,,AA0200,51,37.5000,3570.5500,0,07/04/2009,,8,10,N,0,1,36,0,,2009055429,200916,18/08/2009,S,0,19319,1,418,0,0
262225,842289,24403,1,1,1,418,2,151,,AA0200,50,40.0000,3176.5000,0,06/03/2008,,1,10,N,0,1,62,0,,2008027415,200807,02/04/2008,S,0,73828,1,723,0,0
288415,835290,15265,1,0,1,418,1,161,0,CF4700,03,32.0000,8084.0000,0,01/09/2010,,8,10,N,0,1,38,0,,2010073411,201020,15/10/2010,S,0,23408,2,418,0,0
288422,835290,15287,1,0,1,418,1,165,0,CF4700,03,16.0000,4042.0000,0,01/09/2010,,8,10,N,0,1,38,0,,2010073410,201020,15/10/2010,S,0,23527,2,418,0,0
165805,730413,14208,1,0,10,418,1,121,,D6600,96,40.0000,11280.9600,3,16/05/1990,,0,1,N,0,1,0,0,INGENIERIA QUIMICA,,0,,,0,0,0,0,0,0
278112,848679,14659,1,1,1,418,2,151,,AA0200,50,37.5000,3399.6000,0,08/09/2009,,1,10,N,0,1,62,0,,2009072189,200919,01/10/2009,S,0,86176,1,723,0,0
268839,844709,14464,1,0,1,418,1,151,,AA0200,50,40.0000,3215.0500,0,02/10/2008,,1,10,N,0,1,62,0,,2008081335,200820,16/10/2008,S,0,78032,1,723,0,0
257104,840322,21576,1,0,1,418,1,143,,CA7600,16,20.0000,11688.0000,0,16/09/2007,,8,10,N,0,1,62,0,,2007078600,200719,27/09/2007,S,0,12147,1,418,0,0
291656,144107,14643,1,0,5,418,1,151,0,ET1700,53,32.5000,6999.2000,0,16/11/2010,,8,10,N,0,1,28,0,,2011001186,201101,14/12/2010,S,0,23913,2,418,0,0
291657,144107,14873,1,0,5,418,1,155,0,ET1700,53,15.5000,3499.6000,0,16/11/2010,,8,10,N,0,1,18,0,,2011001187,201101,14/12/2010,S,0,23914,1,418,0,0
280059,127181,15233,3,1,13,418,2,151,0,A0900,53,32.5000,5146.0000,0,16/10/2009,,8,10,N,0,1,28,0,,2009097058,200923,02/12/2009,S,0,20726,2,418,0,0
280060,127181,50583,3,1,13,418,2,155,0,A0900,53,15.5000,2573.0000,0,16/10/2009,,8,10,N,0,1,18,0,,2009097059,200923,02/12/2009,S,0,20727,1,418,0,0
267908,843978,66831,1,0,1,418,1,151,,AA0200,50,37.5000,3215.0500,0,18/08/2008,,1,10,N,0,1,62,0,,2008064886,200817,17/09/2008,S,0,76737,1,723,0,0
263758,837038,14546,1,1,1,418,2,151,0,AA0200,50,37.5000,3652.4000,0,04/10/2010,04/11/2010,8,10,N,0,3,114,0,,2010094474,201023,02/12/2010,S,0,23704,1,418,0,0
134250,71615,56704,1,0,1,418,1,143,,CA5000,16,48.0000,6276.8400,0,01/02/1996,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
159070,148310,56698,1,2,2,418,2,143,,CA5000,16,48.0000,6276.8400,0,01/02/1998,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
141173,92789,43223,1,1,20,418,2,161,,CF4800,08,32.0000,3363.6000,0,28/07/1993,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
141174,92789,16052,1,1,20,418,2,165,,CF4800,08,16.0000,1681.8000,0,28/07/1993,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
283119,843487,14919,1,1,1,418,2,161,0,CF4700,03,32.0000,8084.0000,0,16/03/2010,,8,10,N,0,1,38,0,,2010025811,201007,27/03/2010,S,0,21928,2,418,0,0
283120,843487,15012,1,1,1,418,2,165,0,CF4700,03,16.0000,4042.0000,0,16/03/2010,,8,10,N,0,1,38,0,,2010025812,201007,27/03/2010,S,0,21929,2,418,0,0
294960,123171,14299,3,1,11,418,2,141,0,D9400,84,40.0000,12508.5500,3,22/02/2011,,8,10,N,0,1,28,0,"QUIMICA ANALITICA ESPECIALIDAD ""ESPECTROFOTOMETRIA DE ABSORCION ATOMICA""",2011033704,201109,28/04/2011,S,0,25333,2,418,0,0
160802,152841,37696,1,1,1,418,2,161,,CF8000,11,32.0000,2822.6000,0,01/11/1996,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
160803,152841,21252,1,1,1,418,2,165,,CF8000,11,16.0000,1411.3000,0,01/11/1996,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
222835,105265,72183,1,0,8,417,1,147,0,D8400,67,40.0000,8927.9000,4,16/09/2010,15/09/2011,8,10,N,6070,1,46,0,,2010074677,201020,15/10/2010,S,0,30732,1,417,0,0
228767,105265,75094,1,0,1,417,1,143,,CA6100,15,48.0000,4396.1000,0,01/07/2004,,1,110,N,0,1,38,0,,2004057754,200418,17/09/2004,,0,0,0,0,0,0
